rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
42,Franz Wagner,ORL,SF,6800,37.32,46.6,28.0,6.85,22.2,6.1,3.6,1.5,1.1,0.3,1.8,26
43,Jimmy Butler III,GSW,F,6000,37.27,46.6,28.0,7.77,20.0,5.6,4.9,0.8,1.4,0.2,1.6,38
44,Derrick White,BOS,F,5220,36.93,46.2,27.7,8.85,17.4,4.4,5.5,2.9,1.2,1.4,1.8,51
45,LaMelo Ball,CHA,F,5730,36.91,46.1,27.7,8.05,19.1,4.8,7.5,3.3,1.1,0.2,3.1,43
46,Brandon Ingram,TOR,F,6600,36.81,46.0,27.6,6.97,22.0,5.8,3.7,1.8,0.8,0.8,2.5,52
47,Zion Williamson,NOP,F,6480,36.64,45.8,27.5,7.07,21.6,6.2,3.4,0.0,1.0,0.6,2.3,38
48,Chet Holmgren,OKC,F,5310,36.44,45.5,27.3,8.57,17.7,8.7,1.6,1.3,0.5,2.0,1.6,46
49,Domantas Sabonis,SAC,F,4740,36.23,45.3,27.2,9.56,15.8,11.4,4.1,0.3,0.9,0.2,2.7,19
50,Jalen Duren,DET,F,5310,36.05,45.1,27.0,8.49,17.7,10.5,1.7,0.0,0.9,0.8,1.9,43
51,Ja Morant,MEM,F,5850,35.91,44.9,26.9,7.68,19.5,3.3,8.1,1.0,1.0,0.3,3.6,20
52,De'Aaron Fox,SAS,F,5850,35.6,44.5,26.7,7.61,19.5,4.0,6.2,2.0,1.2,0.3,2.5,43
53,Stephon Castle,SAS,F,5130,35.44,44.3,26.6,8.64,17.1,5.2,7.0,1.1,1.4,0.3,3.5,42
54,Nikola Vučević,BOS,F,4980,35.35,44.2,26.5,8.88,16.6,9.0,3.7,1.7,0.7,0.6,1.5,50
55,Onyeka Okongwu,ATL,F,4890,35.33,44.2,26.5,9.04,16.3,7.9,3.3,2.0,1.2,1.0,2.0,48
56,Trae Young,WAS,PG,7500,35.15,43.9,26.4,5.85,19.3,1.5,8.9,1.8,1.0,0.1,2.6,10
57,Jaren Jackson Jr.,UTA,F,5790,34.59,43.2,25.9,7.46,19.3,5.7,1.9,1.8,1.1,1.5,2.2,46
58,Tyler Herro,MIA,F,6570,34.59,43.2,25.9,6.58,21.9,4.7,2.7,2.2,1.0,0.5,1.5,11
59,Ryan Rollins,MIL,F,5070,34.07,42.6,25.6,8.4,16.9,4.6,5.5,2.4,1.5,0.4,2.3,50
60,Jalen Williams,OKC,F,5040,34.06,42.6,25.5,8.45,16.8,4.8,5.6,0.8,1.3,0.4,2.0,24
61,Immanuel Quickley,TOR,F,5100,34.03,42.5,25.5,8.33,17.0,4.4,6.1,2.6,1.3,0.1,1.6,51
62,Brandon Miller,CHA,F,6090,33.89,42.4,25.4,6.96,20.3,4.7,3.3,2.9,1.0,0.9,2.7,36
63,Zach Edey,MEM,F,4080,33.67,42.1,25.3,10.32,13.6,11.1,1.1,0.1,0.6,1.9,2.4,11
64,Jusuf Nurkić,UTA,F,3500,33.61,42.0,25.2,12.0,11.0,10.3,4.9,0.6,1.3,0.5,2.5,39
65,Nickeil Alexander-Walker,ATL,F,6060,33.45,41.8,25.1,6.9,20.2,3.5,3.7,3.1,1.2,0.6,1.9,52
66,Norman Powell,MIA,F,6900,33.42,41.8,25.1,6.06,23.0,3.6,2.6,2.9,1.2,0.2,2.0,45
67,Russell Westbrook,SAC,F,4590,33.41,41.8,25.1,9.11,15.3,5.8,6.7,2.1,1.3,0.2,3.4,51
68,Dyson Daniels,ATL,F,3500,33.4,41.8,25.0,11.94,11.4,6.5,6.2,0.2,1.9,0.4,2.0,52
69,Rudy Gobert,MIN,F,3500,33.01,41.3,24.8,11.8,10.7,11.3,1.7,0.0,0.8,1.7,1.3,52
70,Andrew Nembhard,IND,F,5190,32.78,41.0,24.6,7.9,17.3,2.9,7.4,1.9,0.9,0.2,2.4,42
71,Desmond Bane,ORL,F,5790,32.76,40.9,24.6,7.06,19.3,4.3,4.2,1.8,0.9,0.5,2.2,51
72,Ivica Zubac,IND,F,4320,32.6,40.8,24.5,9.44,14.4,11.0,2.2,0.0,0.4,0.8,1.9,43
73,Miles Bridges,CHA,F,5520,32.57,40.7,24.4,7.37,18.4,6.1,3.5,2.2,0.5,0.5,1.4,52
74,Donovan Clingan,POR,F,3500,32.5,40.6,24.4,11.6,11.4,11.5,2.0,0.9,0.5,1.3,1.1,49
75,Mikal Bridges,NYK,F,4710,32.37,40.5,24.3,8.6,15.7,4.1,4.1,2.2,1.4,0.8,1.0,53
76,Kyshawn George,WAS,F,4530,32.25,40.3,24.2,8.9,15.1,5.5,4.9,2.1,1.1,0.9,2.8,42
77,Shaedon Sharpe,POR,F,6420,32.08,40.1,24.1,6.25,21.4,4.4,2.6,2.1,1.4,0.1,3.0,48
78,Paul George,PHI,F,4800,32.07,40.1,24.1,8.35,16.0,5.1,3.7,2.4,1.5,0.5,1.6,27
79,DeMar DeRozan,SAC,F,5670,31.99,40.0,24.0,7.05,18.9,3.2,3.9,0.7,1.2,0.3,1.1,54
80,VJ Edgecombe,PHI,F,4500,31.98,40.0,24.0,8.89,15.0,5.4,4.2,2.1,1.5,0.5,1.8,48
81,RJ Barrett,TOR,F,5580,31.96,40.0,24.0,7.17,18.6,5.3,3.6,1.8,0.8,0.3,1.7,30
82,OG Anunoby,NYK,F,4980,31.9,39.9,23.9,8.01,16.6,5.5,2.4,2.1,1.7,0.7,2.1,41
83,Jalen Suggs,ORL,F,4260,31.82,39.8,23.9,9.34,14.2,4.1,5.2,1.9,1.8,0.7,2.6,31
84,Kristaps Porziņģis,GSW,F,5130,31.77,39.7,23.8,7.74,17.1,5.1,2.7,1.8,0.5,1.3,0.9,17
85,Payton Pritchard,BOS,F,5130,31.69,39.6,23.8,7.72,17.1,4.2,5.3,2.6,0.8,0.1,1.1,52
86,Jrue Holiday,POR,F,4470,31.63,39.5,23.7,8.84,14.9,4.4,6.5,2.2,1.3,0.1,2.5,24
87,Nic Claxton,BKN,F,3660,31.44,39.3,23.6,10.74,12.2,7.2,4.0,0.0,0.7,1.3,1.4,49
88,Kon Knueppel,CHA,F,5670,31.4,39.2,23.5,6.91,18.9,5.5,3.6,3.3,0.7,0.2,2.2,52
89,Keegan Murray,SAC,F,4380,31.37,39.2,23.5,8.95,14.6,6.1,1.5,1.3,1.2,1.6,1.2,19
90,Jarrett Allen,CLE,F,4290,31.32,39.1,23.5,9.11,14.3,8.1,2.0,0.0,1.0,0.9,1.4,41
91,Josh Hart,NYK,F,3660,31.2,39.0,23.4,10.66,12.2,7.5,5.0,1.6,1.2,0.3,2.0,41
92,Darius Garland,LAC,PG,6200,31.13,38.9,23.3,6.27,18.0,2.4,6.9,2.3,0.8,0.1,2.8,26
93,Anthony Black,ORL,F,4770,30.95,38.7,23.2,8.11,15.9,4.0,4.1,1.6,1.4,0.7,2.2,51
94,Derik Queen,NOP,F,3690,30.81,38.5,23.1,10.43,12.3,7.3,4.3,0.3,1.0,0.9,2.4,53
95,Andrew Wiggins,MIA,F,4710,30.8,38.5,23.1,8.17,15.7,5.0,2.8,1.9,1.2,1.0,1.7,49
96,Isaiah Hartenstein,OKC,F,3500,30.68,38.4,23.0,10.97,10.7,9.9,3.4,0.0,1.0,0.7,2.1,28
97,Aaron Gordon,DEN,F,5310,30.59,38.2,22.9,7.19,17.7,6.2,2.5,1.8,0.7,0.2,1.0,23
98,P.J. Washington,DAL,F,4230,30.57,38.2,22.9,9.03,14.1,7.1,1.9,1.2,1.0,1.4,2.1,37
99,Jabari Smith Jr.,HOU,F,4560,30.43,38.0,22.8,8.33,15.2,6.9,1.9,2.2,0.8,1.0,1.3,50
100,Dillon Brooks,PHX,F,6330,30.22,37.8,22.7,5.97,21.1,3.6,1.8,2.4,1.1,0.2,1.8,47
101,Grayson Allen,PHX,F,5100,30.0,37.5,22.5,7.35,17.0,3.0,4.0,3.3,1.4,0.3,1.7,35
102,Naz Reid,MIN,F,4320,29.93,37.4,22.4,8.66,14.4,6.4,2.5,2.5,1.0,0.9,1.6,54
103,Santi Aldama,MEM,F,4200,29.89,37.4,22.4,8.9,14.0,6.7,2.9,1.6,0.9,0.7,1.3,43
104,Saddiq Bey,NOP,F,5010,29.81,37.3,22.4,7.45,16.7,5.8,2.5,1.9,1.0,0.0,0.6,47
105,Coby White,CHA,PG,5200,29.49,36.9,22.1,7.1,18.6,3.7,4.7,2.5,0.7,0.1,3.0,29
106,Jaime Jaquez Jr.,MIA,F,4560,29.43,36.8,22.1,8.07,15.2,5.4,4.7,0.5,0.8,0.2,2.3,49
107,CJ McCollum,ATL,F,5520,29.33,36.7,22.0,6.65,18.4,3.4,3.5,2.6,0.7,0.4,1.7,49
108,Matas Buzelis,CHI,F,4530,29.23,36.5,21.9,8.06,15.1,5.4,2.1,2.0,0.7,1.4,1.8,53
109,Donte DiVincenzo,MIN,F,3900,28.75,35.9,21.6,9.21,13.0,4.5,4.1,3.1,1.4,0.5,1.5,54
