rank,name,team,projected_points
169,Corey Kispert,ATL,15.44
170,Luke Kennard,LAL,15.37
171,Jaden Ivey,CHI,15.31
172,Buddy Hield,ATL,15.25
173,Tyrese Martin,BKN,14.83
174,Bones Hyland,MIN,14.74
175,Kenrich Williams,OKC,14.68
176,Trendon Watford,PHI,14.68
177,Jaxson Hayes,LAL,14.66
178,Sion James,CHA,14.65
179,Josh Minott,BKN,14.32
180,Spencer Jones,DEN,14.22
181,Sidy Cissoko,POR,14.2
182,Mouhamed Gueye,ATL,14.02
183,Patrick Williams,CHI,14.0
184,Nique Clifford,SAC,13.95
185,Javon Small,MEM,13.89
186,Tidjane Salaün,CHA,13.88
187,KJ Simpson,CHA,13.87
188,Nolan Traore,BKN,13.8
189,Jalen Pickett,DEN,13.59
190,Gary Trent Jr.,MIL,13.57
191,Noah Penda,ORL,13.56
192,Tre Mann,CHA,13.46
193,Adem Bona,PHI,13.3
194,Moritz Wagner,ORL,13.29
195,Grant Williams,CHA,13.16
196,John Konchar,UTA,13.14
197,Mike Conley,MIN,13.01
198,Kasparas Jakučionis,MIA,12.88
199,Jared McCain,OKC,12.85
200,Keon Ellis,CLE,12.48
201,Cody Williams,UTA,12.31
202,Taurean Prince,MIL,12.22
203,Ben Saraf,BKN,12.12
204,Christian Koloko,ATL,12.01
205,Devin Carter,SAC,11.65
206,Drake Powell,BKN,11.42
207,Marcus Sasser,DET,11.38
208,Daeqwon Plowden,SAC,11.26
209,Olivier-Maxence Prosper,MEM,11.01
210,Drew Eubanks,SAC,10.99
211,Myron Gardner,MIA,10.96
212,PJ Hall,CHA,10.95
213,Thomas Bryant,CLE,10.86
214,Taylor Hendricks,MEM,10.85
215,Branden Carlson,OKC,10.62
216,Julian Strawther,DEN,10.5
217,Asa Newell,ATL,10.47
218,Zeke Nnaji,DEN,10.21
219,Larry Nance Jr.,CLE,10.12
220,Josh Green,CHA,9.98
221,RayJ Dennis,ATL,9.9
222,Dalen Terry,CHI,9.83
223,Justin Edwards,PHI,9.73
224,Ochai Agbaji,BKN,9.71
225,Pete Nance,MIL,9.7
226,Jabari Walker,PHI,9.57
227,Keaton Wallace,ATL,9.54
228,Jevon Carter,ORL,9.52
229,Jericho Sims,MIL,9.4
230,Jaylen Clark,MIN,9.38
231,Nick Richards,CHI,9.33
232,Jase Richardson,ORL,9.06
233,Jonathan Isaac,ORL,9.0
234,Gabe Vincent,ATL,8.93
235,Tyrese Proctor,CLE,8.92
236,Jalen Wilson,BKN,8.9
237,Eric Gordon,PHI,8.81
238,Nick Smith Jr.,LAL,8.81
239,Malaki Branham,CHA,8.72
240,Rob Dillingham,CHI,8.59
241,Liam McNeeley,CHA,8.32
242,Luke Travers,CLE,8.3
243,Jett Howard,ORL,8.26
244,Jahmai Mashack,MEM,8.07
245,Ousmane Dieng,MIL,8.02
246,DaRon Holmes II,DEN,7.92
247,Gary Harris,MIL,7.75
248,Mason Plumlee,CHA,7.63
249,Rayan Rupert,POR,7.56
250,Dalton Knecht,LAL,7.53
251,Guerschon Yabusele,CHI,7.51
252,Maxi Kleber,LAL,7.2
253,Terrence Shannon Jr.,MIN,7.16
254,Joan Beringer,MIN,7.15
255,Drew Timme,LAL,6.61
256,Wendell Moore Jr.,DET,6.54
257,Julian Phillips,MIN,6.44
258,Chaz Lanier,DET,6.35
259,Keshad Johnson,MIA,6.33
260,Emanuel Miller,CLE,6.12
261,Duop Reath,POR,6.09
262,Xavier Tillman,CHA,6.06
263,Pat Connaughton,CHA,5.98
264,Elijah Harkless,UTA,5.93
265,Bobi Klintman,DET,5.67
266,Yang Hansen,POR,5.59
267,Hunter Tyson,DEN,5.54
268,Lachlan Olbrich,CHI,5.36
269,Drew Peterson,CHA,5.15
270,Brooks Barnhizer,OKC,4.99
271,Andre Jackson Jr.,MIL,4.86
272,Bronny James,LAL,4.83
273,Leonard Miller,CHI,4.61
274,Antonio Reeves,CHA,4.59
275,Jamal Cain,ORL,4.49
276,Javonte Cooke,POR,4.31
277,Doug McDermott,SAC,4.14
278,Adou Thiero,LAL,4.09
279,Chris Youngblood,OKC,4.03
280,Jahmir Young,MIA,3.9
281,E.J. Liddell,BKN,3.82
282,Johni Broome,PHI,3.78
283,Thanasis Antetokounmpo,MIL,3.77
284,Kyle Lowry,PHI,3.7
285,Johnny Juzang,MIN,3.51
286,Caleb Houstan,ATL,3.4
287,Mark Sears,MIL,3.31
288,Joe Ingles,MIN,3.06
289,Curtis Jones,DEN,3.01
290,Jacob Toppin,ATL,2.74
291,Dario Šarić,DET,2.64
292,Hunter Sallis,PHI,1.62
293,Tyson Etienne,BKN,1.55
294,Tosan Evbuomwan,CHA,0.48
