rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
371,Gabe Vincent,ATL,F,3500,9.93,12.4,7.4,3.54,4.8,0.9,1.3,1.3,0.5,0.0,0.4,29
372,Jeremy Sochan,SAS,F,3500,9.92,12.4,7.4,3.54,4.1,2.6,1.0,0.3,0.4,0.2,0.6,28
373,Nick Smith Jr.,LAL,F,3500,9.91,12.4,7.4,3.54,5.8,0.8,1.1,1.1,0.3,0.1,0.8,24
374,Dalen Terry,CHI,F,3500,9.83,12.3,7.4,3.51,3.5,1.9,1.3,0.6,0.6,0.3,0.6,34
375,Garrison Mathews,IND,F,3500,9.77,12.2,7.3,3.49,5.2,1.1,0.7,1.1,0.4,0.2,0.2,15
376,Jalen Wilson,BKN,F,3500,9.75,12.2,7.3,3.49,5.5,1.5,0.6,1.0,0.3,0.1,0.5,33
377,Tyrese Proctor,CLE,F,3500,9.72,12.2,7.3,3.49,4.9,1.1,1.4,0.9,0.4,0.0,0.6,38
378,Jabari Walker,PHI,F,3500,9.57,12.0,7.2,3.43,3.7,3.1,0.5,0.4,0.4,0.2,0.4,45
379,Jase Richardson,ORL,F,3500,9.56,12.0,7.2,3.43,5.1,1.3,1.2,0.6,0.3,0.1,0.6,37
380,Ochai Agbaji,BKN,F,3500,9.56,12.0,7.2,3.43,4.3,2.3,0.7,0.3,0.4,0.3,0.5,42
381,Eric Gordon,PHI,F,3500,9.46,11.8,7.1,3.37,5.5,0.3,0.5,1.3,0.7,0.2,0.5,6
382,Jericho Sims,MIL,F,3500,9.45,11.8,7.1,3.37,3.1,4.0,0.8,0.0,0.2,0.2,0.9,36
383,Nick Richards,CHI,F,3500,9.08,11.3,6.8,3.23,3.6,3.4,0.3,0.0,0.2,0.5,0.9,29
384,Jaylen Clark,MIN,F,3500,9.03,11.3,6.8,3.23,3.8,1.9,0.6,0.4,0.7,0.2,0.3,51
385,Liam McNeeley,CHA,F,3500,9.02,11.3,6.8,3.23,4.1,2.1,0.8,0.8,0.2,0.1,0.4,28
